VOTOS APTOS,ABSTENÇÕES,VOTOS NOMINAIS,zon_loc,nr_local_votacao,nr_zona,ANDREA DO ROCIO CALDAS,CRISTINA REIS GRAEML,EDUARDO PIMENTEL SLAVIERO,FELIPE GUSTAVO BOMBARDELLI,LUCIANO DUCCI,LUIZ GOULARTE ALVES,MARIA VICTORIA BORGHETTI BARROS,NEY LEPREVOST NETO,ROBERTO REQUIÃO DE MELLO E SILVA,SAMUEL DE MATTOS FIGUEIREDO,VOTO BRANCO,VOTO NULO
5013,1344,3386,1_1244,1244,1,21,1110,1180,3,663,90,50,206,62,1,115,168
1658,428,1172,1_1252,1252,1,16,443,314,1,269,30,7,74,18,0,25,33
2133,524,1510,1_1260,1260,1,23,538,462,2,328,45,19,64,26,3,38,61
1504,368,1044,1_1279,1279,1,7,329,340,1,211,39,18,79,20,0,48,44
3885,1157,2543,1_1317,1317,1,41,919,738,0,568,75,29,116,55,2,65,120
4699,1292,3215,1_1325,1325,1,36,1272,891,2,706,75,40,133,58,2,78,114
3915,1118,2554,1_1422,1422,1,29,730,905,0,536,98,60,161,33,2,126,117
4705,1209,3111,1_1430,1430,1,31,891,1026,0,631,94,59,286,90,3,166,219
2131,553,1410,1_1457,1457,1,7,360,530,0,263,59,40,119,31,1,87,81
2383,741,1386,1_1465,1465,1,7,281,597,1,232,49,60,125,34,0,124,132
1775,389,1273,1_1716,1716,1,13,409,426,1,260,39,13,85,25,2,41,72
2149,549,1433,1_1732,1732,1,17,326,506,1,339,72,43,93,35,1,85,82
3177,691,2317,1_1740,1740,1,25,739,767,0,490,72,32,141,50,1,78,91
1600,400,1116,1_1759,1759,1,6,351,396,0,219,44,17,67,16,0,38,46
4296,983,3103,1_1767,1767,1,43,1174,875,3,745,59,33,120,47,4,96,114
3125,830,2153,1_1775,1775,1,18,892,571,2,462,57,17,94,39,1,52,90
4456,1266,3026,1_1830,1830,1,41,1134,804,2,776,65,35,123,42,4,71,93
3289,832,2202,1_1848,1848,1,18,658,774,3,391,81,40,169,67,1,120,135
5150,1236,3533,1_1856,1856,1,25,1008,1260,0,697,136,75,260,68,4,184,197
4996,1269,3334,1_1864,1864,1,20,971,1195,1,576,146,65,282,77,1,187,206
3108,816,2081,1_1872,1872,1,18,627,700,0,463,74,38,131,30,0,98,113
3728,1016,2400,1_1910,1910,1,21,534,956,0,481,130,55,171,50,2,166,146
2271,722,1449,1_1929,1929,1,32,428,342,4,496,30,17,63,31,6,47,53
2024,559,1396,1_1937,1937,1,17,514,369,0,344,36,10,73,32,1,30,39
2429,564,1714,1_1945,1945,1,16,598,527,0,335,63,28,111,36,0,56,95
2659,696,1822,1_1953,1953,1,22,650,546,0,423,52,23,81,25,0,59,82
2210,607,1498,1_1961,1961,1,26,483,384,0,428,55,16,65,39,2,46,59
1355,371,875,1_1970,1970,1,6,230,322,0,205,27,15,61,9,0,61,48
2559,635,1827,1_1988,1988,1,28,648,503,0,485,48,18,70,26,1,45,52
4856,1179,3489,1_1996,1996,1,40,1383,1028,0,732,82,36,147,39,2,79,109
1127,310,717,1_2020,2020,1,8,168,302,0,120,23,22,56,18,0,53,47
2129,476,1505,1_2038,2038,1,9,491,511,1,285,60,23,83,41,1,51,97
3960,998,2788,1_2232,2232,1,39,905,802,1,771,70,42,117,36,5,85,89
1972,471,1395,1_2240,2240,1,16,495,436,0,287,46,22,72,21,0,55,51
2067,513,1330,1_2259,2259,1,11,297,496,0,248,65,27,159,26,1,112,112
3137,754,2265,1_2330,2330,1,27,808,620,2,597,37,27,102,44,1,49,69
4317,1095,3081,1_2348,2348,1,22,1348,933,2,500,28,39,165,42,2,75,66
2535,712,1702,1_2356,2356,1,22,608,544,1,319,36,27,106,39,0,51,70
2119,551,1454,1_2364,2364,1,11,564,408,0,297,34,23,93,23,1,45,69
4183,1065,2984,1_2372,2372,1,23,1149,859,0,679,87,29,122,33,3,61,73
5558,1400,3944,1_2380,2380,1,47,1550,1060,1,982,89,35,131,47,2,105,109
3137,925,2061,1_2399,2399,1,25,772,510,2,583,48,18,63,39,1,60,91
1775,472,1234,1_2402,2402,1,7,462,322,0,307,31,25,64,16,0,35,34
2401,635,1652,1_2410,2410,1,8,561,516,0,373,34,15,102,43,0,49,65
1623,491,1066,1_2429,2429,1,11,347,295,0,300,25,14,44,29,1,27,39
2418,640,1677,1_2437,2437,1,19,629,439,2,401,40,31,81,35,0,44,57
203,51,137,1_2445,2445,1,6,31,30,0,56,6,3,3,2,0,8,7
3568,1033,2263,2_1112,1112,2,20,496,912,0,385,263,38,114,34,1,138,134
9053,2594,5982,2_1120,1120,2,82,2239,1568,2,1333,258,80,317,93,10,202,275
5542,1360,3902,2_1139,1139,2,32,1534,1112,2,701,237,49,159,72,4,133,147
2967,735,2093,2_1147,1147,2,18,850,544,0,415,121,24,90,31,0,56,83
2648,729,1824,2_1155,1155,2,30,695,514,0,406,60,17,85,16,1,46,49
5091,1249,3617,2_1163,1163,2,40,1628,972,2,636,113,34,140,49,3,95,130
7268,1923,4984,2_1180,1180,2,61,1703,1403,3,854,651,58,192,55,4,155,206
3143,813,2122,2_1198,1198,2,12,568,663,1,324,418,32,83,18,3,94,114
4807,1280,3202,2_1201,1201,2,19,771,1005,0,435,749,41,130,51,1,170,155
5031,1105,3664,2_1279,1279,2,42,1391,1002,0,797,170,40,155,62,5,115,147
1531,383,1075,2_1295,1295,2,14,361,283,1,299,34,17,40,25,1,37,36
3869,979,2715,2_1384,1384,2,19,1191,681,0,516,143,21,111,32,1,82,93
5613,1475,3895,2_1414,1414,2,34,1767,976,2,732,150,29,160,40,5,109,134
3478,1015,2162,2_1449,1449,2,12,541,841,0,354,147,66,161,39,1,153,148
3220,909,2047,2_1457,1457,2,10,528,762,0,349,107,66,175,50,0,124,140
7634,2055,5059,2_1465,1465,2,42,1494,1798,2,881,327,99,310,104,2,258,262
9141,2691,5923,2_1503,1503,2,35,1515,1406,2,909,1704,93,200,55,4,245,282
3920,982,2719,2_1511,1511,2,27,974,802,2,505,182,46,118,63,0,100,119
5166,1443,3427,2_1520,1520,2,36,1208,1042,0,636,211,57,191,44,2,146,150
3990,1061,2675,2_1538,1538,2,35,824,899,1,481,167,57,156,55,0,116,138
1193,286,864,2_1546,1546,2,10,394,211,0,179,20,2,38,10,0,19,24
2639,760,1722,2_1570,1570,2,15,492,417,0,334,366,18,60,17,3,66,91
4433,1098,3057,2_1589,1589,2,21,833,1054,3,450,477,31,143,43,2,131,147
2743,708,1829,2_1791,1791,2,10,550,608,0,356,100,38,139,25,3,87,119
4339,1171,3020,2_1805,1805,2,43,1180,862,5,667,65,20,139,39,0,82,66
2900,851,1822,2_1880,1880,2,15,434,704,1,322,145,38,121,42,0,133,94
7432,2139,4802,2_1899,1899,2,26,1218,1518,2,672,1071,49,181,61,4,245,246
5946,1807,3859,2_1988,1988,2,58,1343,1122,3,810,148,58,235,79,3,125,155
2229,516,1548,2_1996,1996,2,16,537,432,1,339,75,20,90,37,1,69,96
4222,1251,2661,2_2003,2003,2,33,849,833,1,559,114,66,153,52,1,148,162
3580,1024,2337,2_2011,2011,2,18,798,698,0,481,101,45,151,43,2,99,120
7142,1766,4977,2_2020,2020,2,57,1830,1403,2,1055,196,63,283,85,3,168,231
3069,1039,1808,2_2038,2038,2,39,504,621,1,391,87,39,84,41,1,133,89
241,36,184,2_2054,2054,2,6,39,71,1,33,10,3,19,2,0,15,6
279,60,198,2_2062,2062,2,4,58,50,0,28,47,3,5,3,0,11,10
120,26,84,2_2070,2070,2,0,20,22,0,17,12,1,10,2,0,3,7
4368,1131,3022,3_1023,1023,3,18,1017,886,0,562,307,49,137,42,4,97,118
4717,1130,3249,3_1058,1058,3,19,914,1089,2,507,457,58,136,67,0,175,163
4348,1184,2776,3_1066,1066,3,18,431,879,1,398,802,80,116,49,2,213,175
3087,873,2031,3_1074,1074,3,13,749,653,1,363,102,26,97,27,0,96,87
3826,932,2583,3_1082,1082,3,15,640,918,2,478,279,50,153,47,1,150,161
4164,1077,2767,3_1090,1090,3,22,709,929,2,497,375,43,158,32,0,172,148
5119,1375,3424,3_1104,1104,3,23,735,1102,1,496,603,67,331,65,1,171,149
2347,645,1560,3_1112,1112,3,6,423,520,0,235,197,33,121,25,0,65,77
4815,1325,3194,3_1120,1120,3,12,918,1102,1,573,361,40,131,55,1,141,155
5912,1771,3795,3_1139,1139,3,34,1065,1269,2,617,461,70,185,87,5,192,154
7989,2354,5096,3_1147,1147,3,33,1218,1756,1,970,648,86,288,94,2,279,260
3884,1224,2330,3_1155,1155,3,12,534,826,1,331,403,66,111,45,1,168,162
9587,2994,5899,3_1163,1163,3,39,1239,2211,1,874,972,134,264,162,3,383,311
3940,1094,2619,3_1198,1198,3,19,812,778,2,447,347,27,130,57,0,107,120
5237,1393,3477,3_1201,1201,3,21,837,943,2,454,829,47,288,54,2,170,197
6842,2199,4278,3_1210,1210,3,70,1325,1303,1,762,473,60,198,78,8,185,180
1977,497,1335,3_1228,1228,3,13,379,448,0,287,55,37,93,23,0,68,77
5841,1872,3562,3_1465,1465,3,23,1170,1141,1,698,196,89,158,81,5,211,196
